Actual,Predicted,Residual
820729.29,815389.9412837502,5339.348716249806
596969.27,625159.793123295,-28190.52312329493
800451.94,920232.2030779475,-119780.26307794754
761860.19,724642.866926521,37217.323073479
779010.94,816101.6857923116,-37090.745792311616
633494.21,662141.7425599098,-28647.532559909858
765906.95,719790.2790374345,46116.67096256546
695098.51,672943.3558828052,22155.15411719482
802001.68,780319.704469865,21681.975530135096
641564.6,626739.399321088,14825.200678911991
739852.58,738674.9781562145,1177.6018437854946
643657.47,644432.3732436582,-774.9032436582493
727241.86,685642.8876769831,41598.972323016846
776992.93,754876.6623895355,22116.267610464594
780344.18,731639.2404343236,48704.9395656765
735480.19,729447.7810523042,6032.408947695745
607084.92,672443.940471524,-65359.02047152398
691112.6,632138.6340918443,58973.96590815566
487464.91,562730.4540359676,-75265.54403596761
727227.2,705926.7469583486,21300.453041651403
650795.49,702661.0305250477,-51865.54052504769
761963.23,733981.3944092474,27981.83559075254
578949.84,614031.4606892327,-35081.62068923272
646559.71,604909.2065080847,41650.5034919153
657429.18,630028.923425748,27400.25657425204
804975.5,766425.944453728,38549.555546271964
763162.45,685301.8211541359,77860.62884586409
799477.76,856395.9408430426,-56918.18084304256
630829.94,681073.781398933,-50243.84139893309
819660.59,817467.5368132684,2193.0531867315294
680840.36,711034.4773821234,-30194.117382123368
761835.34,776581.8322419549,-14746.492241954897
739831.73,747494.2553581696,-7662.525358169572
602002.32,604527.2883453392,-2524.9683453392936
703812.99,754404.9742380747,-50591.98423807474
776922.17,716809.6147513844,60112.55524861568
887537.75,907570.8479176057,-20033.097917605657
636775.66,675812.3057116752,-39036.64571167517
732667.92,721324.9518696215,11342.968130378518
574436.29,554829.9577336553,19606.33226634469
850164.26,792960.6389094921,57203.62109050795
611924.27,609535.2807978508,2388.9892021492124
633009.53,641304.3722428416,-8294.842242841609
555557.77,597952.3223692019,-42394.552369201905
614800.09,587298.4283771345,27501.661622865475
658920.3,738468.8396613172,-79548.53966131713
528852.62,519218.8092672182,9633.81073278177
559422.02,564793.7282657038,-5371.708265703754
527681.56,512411.16385697585,15270.396143024205
783582.0,736635.5007899815,46946.49921001855
500298.48,540084.1369778638,-39785.656977863866
838250.32,789738.7167106131,48511.60328938684
696261.49,729820.5648328224,-33559.07483282243
599603.4,628181.6841014464,-28578.284101446392
573155.19,571794.5720476882,1360.6179523117607
678311.17,644511.5191452488,33799.650854751235
660633.99,741021.4279484028,-80387.43794840283
749559.71,700549.1164778887,49010.5935221113
811771.14,858273.6996137183,-46502.5596137183
697287.9,753603.5874967077,-56315.68749670766
946833.54,984730.4028343325,-37896.86283433251
614024.91,609151.9380554159,4872.971944584162
536524.84,588966.4629552205,-52441.62295522052
746115.59,757165.0941234737,-11049.504123473773
